n =     86400, m =         1, tolerance =  1.00000000000000002E-03
iter, f0val, fval(1), KKTmax, KKTnorm2, scalingfactor
  0,  5.36962096340595991E+01, -3.41137162383792270E-01,  1.79769313486231571+308,  1.79769313486231571+308,  1.00000000000000000E+00
  1,  5.36962096340595991E+01, -3.33495081528605575E-01,  4.57985855602533229E+03,  2.84451809660957428E+05,  1.00000000000000000E+00
  2,  7.18955577679090538E+01, -3.53309380423998676E-01,  9.95130075832355828E+02,  4.83534605723278000E+04,  1.00000000000000000E+00
  3,  5.47508431460261775E+01, -3.53524543733283625E-01,  2.12696871483292716E+03,  1.33917557900273212E+05,  1.00000000000000000E+00
  4,  5.45188742207399173E+01, -3.54117826257026980E-01,  2.47831542814228470E+02,  4.83008123730340139E+03,  1.00000000000000000E+00
  5,  5.41308510783286323E+01, -3.54476622311511169E-01,  2.89057688327548078E+02,  4.76277736659224684E+03,  1.00000000000000000E+00
  6,  5.37823966125631188E+01, -3.55438087176951634E-01,  2.97186714858764333E+02,  4.54449222464086870E+03,  1.00000000000000000E+00
  7,  5.34539410390501999E+01, -3.55709405647194499E-01,  2.38097707031259972E+02,  4.12812504285536397E+03,  1.00000000000000000E+00
  8,  5.31756805951850495E+01, -3.55983018150950736E-01,  2.52547357274066314E+02,  3.73771386977948623E+03,  1.00000000000000000E+00
  9,  5.29484769281535890E+01, -3.55997538283397363E-01,  2.59793030541619544E+02,  3.58549930221720433E+03,  1.00000000000000000E+00
 10,  5.27061159090145281E+01, -3.55935679306928210E-01,  2.72199835170831250E+02,  3.83788223876766278E+03,  1.00000000000000000E+00
